COUNTYNAME,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Two or more races,Hispanic or Latino (of any race),Proportion White,Proportion Black or African American,Proportion American Indian and Alaska Native,Proportion Asian,Proportion Native Hawaiian and Other Pacific Islander,Proportion Some other race,Proportion Two or more races,Proportion Hispanic or Latino (of any race),Year,Turnout,Votes,Votes_R,Votes_DFL,Turnout_R,Turnout_DFL,TotalPop,FemaleProp,Midterms
Steele,33101,1079,50,433,5,1363,510,2636,0.9058591718891108,0.02952847486385157,0.0013683259899838535,0.011849703073260174,0.00013683259899838538,0.037300566486959855,0.013956925097835308,0.07213814619194878,2010,0.5523526129812163,14850,6450,7233,0.23991073089083131,0.26903477775711365,26885,0.5096522224288637,1
Stevens,9121,82,187,164,14,38,156,447,0.9343372259782832,0.008399918049580004,0.01915591067404221,0.01679983609916001,0.0014341323499282937,0.003892644949805368,0.015980331899200985,0.04578979717271051,2010,0.5786795407098121,4435,1530,2568,0.19963465553235907,0.33507306889352817,7664,0.5147442588726514,1
Swift,9073,172,21,17,0,139,61,407,0.9567647368976062,0.01813772013076031,0.002214489085732363,0.001792681640830961,0.0,0.014657808710323737,0.006432563534746388,0.042918907518717714,2010,0.5961766644693474,4522,1314,2780,0.17323665128543178,0.36651285431773234,7585,0.5004614370468029,1
Todd,23266,69,58,116,0,345,481,1299,0.9560715019519213,0.0028354222313540173,0.002383398397370043,0.0047667967947400865,0.0,0.014177111156770084,0.019765769467844668,0.05337990548592562,2010,0.5021378941742384,9395,3140,4629,0.16782469267771247,0.24740780331373596,18710,0.4903794762159273,1
Traverse,3149,15,137,0,0,16,80,77,0.9269944068295556,0.004415660877244628,0.04032970267883427,0.0,0.0,0.004710038269060936,0.023550191345304682,0.022667059169855758,2010,0.6551849166062365,1807,514,1148,0.18636693255982595,0.41624365482233505,2758,0.5097897026831038,1
Wabasha,20755,46,51,88,0,62,325,613,0.9731795376752472,0.0021568903268157735,0.0023913349275566185,0.004126224973038871,0.0,0.0029071130491864767,0.01523889904815492,0.028742908050827586,2010,0.5428743235117258,9028,3925,4214,0.2360192423331329,0.2533974744437763,16630,0.5019843656043296,1
Wadena,13260,111,119,35,0,28,202,236,0.9640130861504908,0.008069792802617229,0.008651399491094147,0.002544529262086514,0.0,0.0020356234096692107,0.014685568884042169,0.017157397310069062,2010,0.5220293724966623,5474,3020,2049,0.2880030516879649,0.19540339500286097,10486,0.5099179858859432,1
Waseca,17752,509,133,93,0,225,322,1079,0.932646842492382,0.026741620258484814,0.006987496059682673,0.004885993485342019,0.0,0.011820951980666176,0.01691709572344226,0.056688031942839126,2010,0.5425895542794641,7937,3365,3826,0.23003828274541974,0.2615531856713153,14628,0.5427946404156412,1
Washington,216007,9796,944,12605,111,1910,7372,9493,0.8683873042674225,0.03938169611449476,0.003795051156807172,0.050674385414782204,0.0004462401254296568,0.007678546302438241,0.0296367766186255,0.03816358117751111,2010,0.5915413437355643,103725,50345,46479,0.28711640347425393,0.2650686923642834,175347,0.5103195378307014,1
Watonwan,9970,70,50,131,0,691,84,2489,0.9066933430338304,0.006365951255001819,0.004547108039287013,0.011913423062931977,0.0,0.06284103310294653,0.0076391415060021815,0.22635503819570754,2010,0.5098225979283248,4282,1691,2183,0.20133349208239076,0.2599118942731278,8399,0.499226098345041,1
Wilkin,6174,47,99,0,0,7,152,82,0.9529248340793331,0.0072542058959716,0.01528013582342954,0.0,0.0,0.0010804136440808766,0.02346041055718475,0.012656274116375984,2010,0.4899342236396253,2458,897,1423,0.17879210683675503,0.28363563882798487,5017,0.4989037273270879,1
Winona,48034,755,170,1342,12,232,600,1400,0.9391729396812982,0.01476195131488904,0.003323883077524685,0.026239124059047804,0.00023462704076644835,0.004536122788151334,0.011731352038322415,0.027373154756085642,2010,0.4446666506035708,18455,7630,9428,0.18384213189407994,0.22716430137580415,41503,0.5146374960846204,1
Wright,123077,1480,419,1412,9,1195,2330,3502,0.9473145425716968,0.011391450254768246,0.003225011930235064,0.010868059297116732,6.927233263034743e-05,0.009197826388140576,0.01793383722541217,0.02695463431905297,2010,0.549614577631819,48199,27412,16669,0.31257982120051087,0.1900770844736362,87696,0.5012771392081737,1
Yellow Medicine,9288,24,331,61,0,134,200,416,0.9252839210998208,0.002390914524805738,0.032974696154612466,0.006076907750547918,0.0,0.013349272763498704,0.019924287706714484,0.04144251842996613,2010,0.524437743435105,4174,1523,2324,0.19135569795200402,0.29199648197009676,7959,0.4939062696318633,1
